Date,Open,High,Low,Close,Adj Close,Volume
2022-08-03,63600.000000,65800.000000,62200.000000,62800.000000,62800.000000,1857296
2022-08-04,63700.000000,64100.000000,61300.000000,61800.000000,61800.000000,1465209
2022-08-05,62100.000000,64700.000000,60500.000000,63800.000000,63800.000000,1887280
2022-08-08,64800.000000,70600.000000,64000.000000,69600.000000,69600.000000,4022027
2022-08-09,69200.000000,73800.000000,68200.000000,70000.000000,70000.000000,3047766
2022-08-10,69100.000000,72500.000000,69000.000000,70700.000000,70700.000000,1449301
2022-08-11,71400.000000,71600.000000,69200.000000,70700.000000,70700.000000,1127454
2022-08-12,70300.000000,72300.000000,69900.000000,70300.000000,70300.000000,914963
2022-08-16,70700.000000,74000.000000,70100.000000,70700.000000,70700.000000,1390747
2022-08-17,70700.000000,71100.000000,68100.000000,69200.000000,69200.000000,1157545
2022-08-18,69700.000000,72500.000000,68700.000000,71400.000000,71400.000000,1434595
2022-08-19,71700.000000,72700.000000,70600.000000,70600.000000,70600.000000,716173
2022-08-22,70100.000000,72300.000000,69900.000000,70300.000000,70300.000000,861239
2022-08-23,71000.000000,75200.000000,70600.000000,72400.000000,72400.000000,2106988
2022-08-24,73400.000000,77500.000000,72400.000000,75800.000000,75800.000000,3025058
2022-08-25,75800.000000,75800.000000,73000.000000,74300.000000,74300.000000,1430236
2022-08-26,75900.000000,78600.000000,74100.000000,78400.000000,78400.000000,2356739
2022-08-29,77400.000000,80200.000000,77300.000000,79600.000000,79600.000000,2153833
2022-08-30,80200.000000,80900.000000,76200.000000,76900.000000,76900.000000,1450691
2022-08-31,77000.000000,82000.000000,75200.000000,81400.000000,81400.000000,2717530
2022-09-01,82200.000000,84400.000000,79600.000000,79800.000000,79800.000000,2187478
2022-09-02,80500.000000,81900.000000,77800.000000,80600.000000,80600.000000,1398395
2022-09-05,81200.000000,85100.000000,79800.000000,84100.000000,84100.000000,2064514
2022-09-06,84700.000000,86400.000000,83700.000000,85400.000000,85400.000000,1392242
2022-09-07,84800.000000,86800.000000,80700.000000,82400.000000,82400.000000,2114471
2022-09-08,82800.000000,83200.000000,78900.000000,81600.000000,81600.000000,1964275
2022-09-13,81900.000000,82000.000000,73800.000000,77600.000000,77600.000000,3494121
2022-09-14,75500.000000,79400.000000,74500.000000,78500.000000,78500.000000,1771651
2022-09-15,78900.000000,81900.000000,77200.000000,78700.000000,78700.000000,1778517
2022-09-16,77700.000000,79000.000000,74200.000000,74400.000000,74400.000000,1978351
2022-09-19,74800.000000,76300.000000,72600.000000,73800.000000,73800.000000,1421060
2022-09-20,74100.000000,75800.000000,73500.000000,74600.000000,74600.000000,1116913
2022-09-21,74300.000000,74700.000000,71700.000000,73800.000000,73800.000000,1212837
2022-09-22,75300.000000,77200.000000,72200.000000,76400.000000,76400.000000,1994729
2022-09-23,76800.000000,77600.000000,73600.000000,74100.000000,74100.000000,1112540
2022-09-26,73300.000000,74200.000000,65600.000000,66100.000000,66100.000000,3885979
2022-09-27,66300.000000,67200.000000,63300.000000,65000.000000,65000.000000,2682368
2022-09-28,65100.000000,67700.000000,62200.000000,62600.000000,62600.000000,2176600
2022-09-29,63500.000000,65300.000000,61800.000000,61800.000000,61800.000000,1594055
2022-09-30,61000.000000,63500.000000,59500.000000,61400.000000,61400.000000,1129454
